Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	1960s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010903475992
CR02	1960s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5582244071999996e-05
CR02	1960s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Electricity	No	Only Heating Shared	0.144393	0.072686	0.337021	0.215179	0.038196	0.064175	0.128351	0.00020094614191999997
CR02	1970s	Fuel Oil	No	Only Heating Shared	0.093467	0.085712	0.397417	0.25374	0.04504	0.041541	0.083082	0.0
